user_id_column,user_image_column
principal,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Albus_Dumbledore.jpg
teacher1,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Arthur_Weasley.jpg
teacher2,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Gilderoy_Lockhart.jpg
teacher3,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Minerva_McGonagall.jpg
student01,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Draco_Malfoy.jpg
student02,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Harry_Potter.jpg
student03,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Hermione_Granger.jpg
student04,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Luna_Lovegood.jpg
student05,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Neville_Longbottom.jpg
student06,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Ron_Weasley.jpg
observer01,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Molly_Weasley.JPG
observer02,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Sirius_Black.jpg
observer03,https://s3.amazonaws.com/SSL_Assets/SalesSandbox/avatars/Snape_Severus.jpg
